Normal,Inara ID,Internal key,Category,Commodity,Produced By,Consumed By,Combined Totals,Percentage of Total,,Combined Orbital structures,Percentage of Orbital,Combined Surface structures,Percentage of Surface,,Orbital - Starport - Coriolis,Orbital - Starport - Asteroid Base,Orbital - Starport - Ocellus,Orbital - Starport - Orbis,Orbital - Starport - Dodecahedron,Orbital - Outpost - Commercial,Orbital - Outpost - Industrial,Orbital - Outpost - Criminal,Orbital - Outpost - Civilian,Orbital - Outpost - Scientific,Orbital - Outpost - Military,Orbital - Installation - Satellite,Orbital - Installation - Comm Station,Orbital - Installation - Space Farm,Orbital - Installation - Pirate Base,Orbital - Installation - Mining Outpost,Orbital - Installation - Relay Station,Orbital - Installation - Military,Orbital - Installation - Security Station,Orbital - Installation - Government,Orbital - Installation - Medical,Orbital - Installation - Research Station,Orbital - Installation - Tourist,Orbital - Installation - Space Bar,Surface - Planetary Port - Outpost Civilian,Surface - Planetary Port - Outpost Industrial,Surface - Planetary Port - Outpost Scientific,Surface - Planetary Port - Port,Surface - Settlement - Agriculture T1 S,Surface - Settlement - Agriculture T1 M,Surface - Settlement - Agriculture T2 L,Surface - Settlement - Extraction T1 S,Surface - Settlement - Extraction T1 M,Surface - Settlement - Extraction T2 L,Surface - Settlement - Industrial T1 S,Surface - Settlement - Industrial T1 M,Surface - Settlement - Industrial T2 L,Surface - Settlement - Military T1 S,Surface - Settlement - Military T1 M,Surface - Settlement - Military T2 L,Surface - Settlement - Research Bio T1 S,Surface - Settlement - Research Bio T1 M,Surface - Settlement - Research Bio T2 L,Surface - Settlement - Tourism T1 S,Surface - Settlement - Tourism T1 M,Surface - Settlement - Tourism T2 L,Surface - Hub - Extraction,Surface - Hub - Civilian,Surface - Hub - Exploration,Surface - Hub - Outpost,Surface - Hub - Scientific,Surface - Hub - Military,Surface - Hub - Refinery,Surface - Hub - High Tech,Surface - Hub - Industrial,,,,,,,,,,,,,,,,,,,,,Orbital - Starport - Coriolis (Primary),Orbital - Starport - Asteroid Base (Primary),Orbital - Starport - Ocellus (Primary),Orbital - Starport - Orbis (Primary),Orbital - Starport - Dodecahedron (Primary),Orbital - Outpost - Commercial (Primary),Orbital - Outpost - Industrial (Primary),Orbital - Outpost - Criminal (Primary),Orbital - Outpost - Civilian (Primary),Orbital - Outpost - Scientific (Primary),Orbital - Outpost - Military (Primary)
Micro Controllers,156,microcontrollers,,Micro Controllers,High Tech,"Industrial, Military",541,0.04 %,,57,0.01 %,484,0.09 %,,,,,,,,,,,,,13,13,,,,,18,,,,13,,,,,,,,,,,,,14,28,42,12,24,36,14,28,42,,,,,,,,49,55,,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muon Imager,119,mutomimager,,Muon Imager,"⊕ High Tech, ⊕ Industrial","⊕ Extraction, ⊕ Military","1,188",0.08 %,,81,0.01 %,"1,107",0.21 %,,,,,,,,,,,,,,,,,43,,,,,,38,,,,,,,,,,45,90,135,,,,,,,95,190,285,,,,160,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resonating Separators,69,resonatingseparators,,Resonating Separators,High Tech,Refinery,190,0.01 %,,22,0.00 %,168,0.03 %,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,14,28,42,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotics,70,robotics,,Robotics,High Tech,Industrial,"2,196",0.15 %,,60,0.01 %,"2,136",0.41 %,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,59,118,177,55,110,165,,,,,,,,,,252,,,,,,419,449,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structural Regulators,117,structuralregulators,,Structural Regulators,High Tech,"⊕ Colony, ⊕ Refinery, ⊕ Extraction, ⊕ Military, ⊕ Tourism","11,167",0.74 %,,0,0.00 %,"11,167",2.16 %,,,,,,,,,,,,,,,,,,,,,,,,,,678,678,678,2712,56,112,168,74,148,222,68,136,204,101,202,303,81,162,243,57,114,171,504,336,267,338,445,542,465,404,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Grade Fabrics,157,militarygradefabrics,,Military Grade Fabrics,Refinery,Military,241,0.02 %,,55,0.01 %,186,0.04 %,,,,,,,,,,,,,,,,,,,36,19,,,,,,,,,,,,,,,,,,,24,48,72,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biowaste,76,biowaste,,Biowaste,"All except ⊙ Agricultural, Military, Service",Agricultural,"2,463",0.16 %,,153,0.02 %,"2,310",0.45 %,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,280,560,840,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Weapons,88,battleweapons,,Battle Weapons,"*High Tech, *Industrial, *⊕ Military, *Service","*Agricultural, *Refinery, *⊙ Military (*Anarcy / Communist / Confederacy / Dictatorship governments only)",258,0.02 %,,72,0.01 %,186,0.04 %,,,,,,,,,,,,,,,,23,,,30,19,,,,,,,,,,,,,,,,,,,24,48,72,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Lethal Weapons,78,nonlethalweapons,,Non-Lethal Weapons,"High Tech, Military","Agricultural, Industrial, Refinery, Extraction, Tourism, Terraforming",561,0.04 %,,323,0.03 %,238,0.05 %,,25,25,50,50,63,13,13,13,13,13,13,,,,,,,,19,13,,,,,34,34,34,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,50,50,63,13,13,13,13,13,13
Reactive Armour,80,reactivearmour,,Reactive Armour,"High Tech, Military","Agricultural, Industrial, Refinery, Extraction, Tourism, Terraforming",239,0.02 %,,53,0.01 %,186,0.04 %,,,,,,,,,,,,,,,,23,,,30,,,,,,,,,,,,,,,,,,,,24,48,72,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
